"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","eBay: 1997 VAUXHALL MIDI 2.4D SWB only covered… https://t.co/ulBzjc2IXG #classiccars #cars https://t.co/HJnS4R8pXQ https://t.co/9fSG1Dv1dr",FALSE,0,NA,2016-09-02 14:19:33,FALSE,NA,"771714181414264832",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","UKClassicCars",0,FALSE,FALSE,NA,NA
"2","A little teaser of our pop-up Design Research Unit #designresearch #servicedesign #roadtrip https://t.co/uHysUPxPni",FALSE,0,NA,2016-09-02 14:19:32,FALSE,NA,"771714178000228352",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NileSays",0,FALSE,FALSE,NA,NA
"3","eBay: Pink Cadillac! 1965 Fleetwood 75… https://t.co/2BkgLeO8N8 #classiccars #cars https://t.co/HJnS4R8pXQ https://t.co/YX2ZSiIWgb",FALSE,0,NA,2016-09-02 14:19:29,FALSE,NA,"771714166738477056",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","UKClassicCars",0,FALSE,FALSE,NA,NA
"4","@alexs_journey @pfoa_uk @BMWParkLaneUK @LondonHiltonPL @NHM_London @metpoliceuk You and Sophia look so cool behind the wheel of your new car",FALSE,0,"alexs_journey",2016-09-02 14:19:11,FALSE,"771711407477886980","771714091895361537","743425953230110720","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CathRyan1",0,FALSE,FALSE,NA,NA
"5","RT @MultiTrades_Rec: £35M boost to Midlands automotive sector https://t.co/Nvun5vxPyi #automotive #sbutd https://t.co/92R2EMUCeD",FALSE,0,NA,2016-09-02 14:19:05,FALSE,NA,"771714066842779648",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","MarketAngelsLON",2,TRUE,FALSE,NA,NA
"6","@tkingdot My elderly neighbour *genuinely* said to me when I got a new car ""You think you're everyone now you're mother's got a mangle"" :-))",FALSE,0,"tkingdot",2016-09-02 14:18:48,FALSE,"771713753503109120","771713994264604672","14526135","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MargoJMilne",0,FALSE,FALSE,NA,NA
"7","Need a new car all mine does is break and crash",FALSE,0,NA,2016-09-02 14:18:17,FALSE,NA,"771713862596956160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hihellojulia",0,FALSE,FALSE,NA,NA
"8","@sacro_ #volunteer #driving Sacro are currently looking for volunteer drivers, read more... https://t.co/NE6RGZ7zKX https://t.co/j1Wq22K1AS",FALSE,0,"sacro_",2016-09-02 14:17:27,FALSE,NA,"771713653859057664","207892442","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VolunteerEdi",0,FALSE,FALSE,NA,NA
"9","Rental Representative - Part-Time: Description Are you a college student looking for experi... https://t.co/jelH4NDt1I #jobs #automotive",FALSE,0,NA,2016-09-02 14:17:18,FALSE,NA,"771713616537980929",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","EmployMeFirst",0,FALSE,FALSE,NA,NA
"10","RT @croft7: Well my new car school is certainly entertaining... Won't need the radio I don't think... @RyanMcL2 https://t.co/U4kMeeWcrI",FALSE,0,NA,2016-09-02 14:17:03,FALSE,NA,"771713552201768960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jacob_collins2",1,TRUE,FALSE,NA,NA
"11","All done! Thank you @Hanson_UK!! French drainage system now in place and new car park to boot! #nomoreflooding ;-) https://t.co/8jqJxk9WGe",FALSE,0,NA,2016-09-02 14:16:55,FALSE,NA,"771713518584393728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GANFschools",0,FALSE,FALSE,NA,NA
